name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov1_60_1_15,60,1,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7133,28512,1972,0,0,0,0,31299,442016,2033202,3287817,17739,0,0,156196,837340,12548566,59264900,20054114,1289530,1194,212523,9901724,66231363,139154826,136378367,25305415,1192534,61917,4119591,130386187,1878544701,776535639,55579024,6881630,
AFMarkov1_60_1_70,60,1,70,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7133,28512,1972,0,0,0,0,30943,442003,2033202,3287817,17739,0,0,3597,365361,12411516,59263955,20054114,1289530,1194,253,30038,1681484,58292501,134904389,25304863,1192534,21,2294,139948,5433466,19817485,23996078,6806969,
AFMarkov1_60_1_95,60,1,95,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6551,28492,1972,0,0,0,0,326,57357,1819892,3286484,17739,0,0,2,1105,123500,7049644,17871919,1288831,1194,0,18,2483,187921,1352630,3101312,1086462,0,0,33,3873,30406,78397,65963,
AFMarkov1_60_5_15,60,5,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,618,8115,1772,0,0,0,0,875,74509,193144,792615,15883,0,0,25558,352939,328635,9975260,1997799,358654,1194,588,140692,11447475,60010317,3539216,4160305,115194,113,8478,368099,25691594,135752421,23396830,189904,
AFMarkov1_60_5_70,60,5,70,0,0,0,0,0,0,0,10,0,0,0,0,0,0,618,8115,1772,0,0,0,0,481,74494,193144,792615,15883,0,0,3,431,171960,9973946,1997799,358654,1194,0,19,1382,65397,1853768,4159573,115194,0,2,138,4998,19515,28850,105048,
AFMarkov1_60_5_95,60,5,95,0,0,0,0,0,0,0,10,0,0,0,0,0,0,85,8081,1772,0,0,0,0,0,8,34558,790507,15883,0,0,0,0,0,809,334407,357531,1194,0,0,0,0,1,412,12205,0,0,0,0,0,0,0,
AFMarkov1_60_10_15,60,10,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,147,451,510,0,0,0,0,335,5018,36769,58876,5247,0,0,1998,81724,141063,641610,364316,19708,380,81,6576,984942,14377407,1529082,275458,24795,20,1326,44116,1201713,11625477,5760415,69004,
AFMarkov1_60_10_70,60,10,70,0,0,0,0,0,0,0,4,0,0,0,0,0,0,147,451,510,0,0,0,0,15,5003,36769,58876,5247,0,0,0,18,4439,640286,364316,19708,380,0,0,46,2672,46878,274721,24795,0,0,3,188,677,970,2778,
AFMarkov1_60_10_95,60,10,95,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,427,510,0,0,0,0,0,0,1523,56830,5247,0,0,0,0,0,0,14513,18585,380,0,0,0,0,0,0,413,0,0,0,0,0,0,0,
AFMarkov1_60_15_15,60,15,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,72,145,0,0,0,0,217,531,9389,9501,1463,0,0,310,26346,87542,75494,92228,3616,83,24,1910,128336,4488786,958200,31084,6578,5,392,14173,353856,1538230,1723185,42059,
AFMarkov1_60_15_70,60,15,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,72,145,0,0,0,0,0,516,9389,9501,1463,0,0,0,0,217,74151,92228,3616,83,0,0,0,26,2098,30338,6578,0,0,0,0,1,11,102,
AFMarkov1_60_15_95,60,15,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,145,0,0,0,0,0,0,91,8542,1463,0,0,0,0,0,0,963,3058,83,0,0,0,0,0,0,90,0,0,0,0,0,0,0,
AFMarkov1_60_20_15,60,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,73,0,0,0,0,133,112,2669,1979,846,0,0,85,8129,48937,13781,26526,606,6,1,133,31606,1322426,507283,6135,1429,0,0,94,22850,369462,533019,26790,
AFMarkov1_60_20_70,60,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,73,0,0,0,0,0,97,2669,1979,846,0,0,0,0,8,12453,26526,606,6,0,0,0,0,78,5389,1429,0,0,0,0,0,0,1,
AFMarkov1_60_20_95,60,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,0,0,0,3,1544,846,0,0,0,0,0,0,42,367,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
AFMarkov1_60_50_15,60,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,12,299,147,31,1,0,0,0,0,892,2914,74,1,0,0,0,0,0,362,148,
AFMarkov1_60_50_70,60,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
AFMarkov1_60_50_95,60,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_60_500_15,60,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_60_500_70,60,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_60_500_95,60,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_70_1_15,70,1,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6271,16192,331,0,0,0,0,30576,362405,1757716,1930717,2731,0,0,117355,507776,12204967,48126007,17260843,741405,143,212483,9671975,48392269,83325573,132602320,20728030,1043302,61917,4119591,130374700,1837543587,562927485,33668993,6722987,
AFMarkov1_70_1_70,70,1,70,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6271,16192,331,0,0,0,0,30522,362404,1757716,1930717,2731,0,0,3597,365339,12187520,48125995,17260843,741405,143,253,30038,1681484,58289546,132429168,20728015,1043302,21,2294,139948,5433466,19817485,23994561,6711924,
AFMarkov1_70_1_95,70,1,95,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6131,16188,331,0,0,0,0,326,57354,1700216,1930692,2731,0,0,2,1105,123500,7047552,16704148,741393,143,0,18,2483,187921,1352630,3099766,1018732,0,0,33,3873,30406,78397,65963,
AFMarkov1_70_5_15,70,5,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,144,1797,260,0,0,0,0,330,20170,43071,213479,2162,0,0,11914,92664,123313,2948735,445485,78231,143,588,119038,5011559,15669902,1312307,1191986,24218,113,8478,368099,21819576,59596659,6063289,70444,
AFMarkov1_70_5_70,70,5,70,0,0,0,0,0,0,0,2,0,0,0,0,0,0,144,1797,260,0,0,0,0,272,20169,43071,213479,2162,0,0,3,431,103859,2948720,445485,78231,143,0,19,1382,65397,1118808,1191967,24218,0,2,138,4998,19515,28850,58163,
