name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFReal_50_50_95,50,50,95,236,114,0,0,0,0,0,1693,14387,26236,2825,0,0,0,295,18304,390946,909492,165855,1142,0,38,2210,67542,1465310,3089579,400796,9905,12,476,10923,202387,582682,605075,149131,5,170,3000,45267,89825,87995,31234,3,111,2250,29430,32282,18347,4033,
AFReal_50_500_15,50,500,15,236,114,0,0,0,0,0,1288,12039,26236,2825,0,0,0,3384,42268,279019,729846,165855,1142,0,570,34247,849747,3542071,2160213,317086,9905,110,6266,186277,3532363,7232304,1427306,101784,20,1152,36885,776950,1828203,1488995,351858,6,287,9040,157185,365885,318714,95779,
AFReal_50_500_70,50,500,70,236,114,0,0,0,0,0,1288,12039,26236,2825,0,0,0,233,13993,278887,729846,165855,1142,0,25,1596,54553,1171707,2159356,317086,9905,10,377,8708,166444,479792,485454,101776,2,96,2347,41347,82161,78940,28196,0,0,4,1957,16411,16235,3974,
AFReal_50_500_95,50,500,95,236,114,0,0,0,0,0,147,9937,26236,2825,0,0,0,13,862,31499,602445,165855,1142,0,3,191,3512,70625,250428,254534,9905,0,1,200,10049,31060,34415,13041,0,0,0,5,990,4152,1594,0,0,0,0,0,3,39,
AFReal_60_1_15,60,1,15,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,9823,71806,276312,479069,51453,14,0,56695,714063,2738540,6592412,2134820,204343,3038,226311,3327802,23135181,91084378,25649747,2743715,100099,800114,13475601,106737581,521029326,245030682,39040982,1380622,1161643,36802738,474547027,2487754090,1243631721,211787218,11650281,
AFReal_60_1_70,60,1,70,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,9778,71800,276312,479069,51453,14,0,53892,702746,2728412,6591916,2134820,204343,3038,120190,2878436,22030722,89899465,25567848,2743474,100099,103806,3600585,54651572,447170296,233327398,38531747,1376171,86130,3166094,56894819,620874152,618310640,181256333,11088331,
AFReal_60_1_95,60,1,95,92,3,0,0,0,0,0,1244,8345,9022,33,0,0,0,8394,65267,273206,479059,51453,14,0,31166,590771,2290005,5988192,2112928,204338,3038,29978,882216,12054641,75120115,21181783,2492849,99049,22536,796055,12679046,125886690,123157949,32074591,1116539,17911,656079,11811512,129951811,137395676,49927123,5816049,
AFReal_60_5_15,60,5,15,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,8122,71806,276312,479069,51453,14,0,25936,382029,2219236,6592412,2134820,204343,3038,106941,1585950,9577987,44472658,20233899,2743715,100099,66296,3572971,47711406,234442033,95047699,18643970,1103130,18221,1104571,34810957,599845502,540765552,93166649,4379949,
AFReal_60_5_70,60,5,70,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,8071,71800,276312,479069,51453,14,0,17637,360726,2207390,6591916,2134820,204343,3038,4744,257240,6353927,42217800,20139091,2743474,100099,1311,65242,1652882,31508068,61493022,17684474,1098077,604,25312,564742,8700812,16216871,12272250,2780024,
AFReal_60_5_95,60,5,95,92,3,0,0,0,0,0,1244,8345,9022,33,0,0,0,5593,65267,273206,479059,51453,14,0,1452,72864,1468373,5988192,2112928,204338,3038,368,16191,396997,6722441,12735877,2492849,99049,147,5832,118049,1713431,3408190,2719561,664782,92,3398,65340,799681,1098191,655642,155699,
AFReal_60_10_15,60,10,15,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,6892,71339,276312,479069,51453,14,0,20092,297486,1814388,6445259,2134820,204343,3038,52863,1110484,7053257,32096398,16171891,2672856,100099,13177,863665,22161795,157450744,68925142,13294879,868769,3484,198354,6242110,131751825,237221021,62571718,3230379,
AFReal_60_10_70,60,10,70,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,6835,71333,276312,479069,51453,14,0,6418,260917,1801208,6444743,2134820,204343,3038,1193,63028,1935681,27987467,16062217,2672609,100099,310,15734,391363,7305001,17718448,11512901,862668,107,4830,118356,1935714,3736754,2849052,847480,
AFReal_60_10_95,60,10,95,92,3,0,0,0,0,0,1244,8345,9022,33,0,0,0,2386,64571,273206,479059,51453,14,0,387,19670,542339,5778126,2112928,204338,3038,95,3939,95872,1665508,4381944,2388501,99049,30,1267,26061,383773,801544,674206,217233,9,376,7929,114568,197222,131725,37646,
AFReal_60_15_15,60,15,15,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,6170,65375,276312,479069,51453,14,0,18743,240174,1599831,5750595,2134820,204343,3038,27821,933522,6674171,25141241,14132556,2327264,100099,5780,368539,10985589,127847007,65229647,10186319,759387,1661,91022,2684405,54981460,114670404,51224283,3028228,
AFReal_60_15_70,60,15,70,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,6093,65369,276312,479069,51453,14,0,3131,172632,1581221,5750047,2134820,204343,3038,640,31968,960720,17654694,13979135,2327007,100099,175,8227,211682,3717054,8769776,6994603,750996,58,2524,61087,1012349,2009178,1447362,398511,
AFReal_60_15_95,60,15,95,92,3,0,0,0,0,0,1244,8345,9022,33,0,0,0,1335,54148,273206,479059,51453,14,0,190,10326,293744,4559430,2112928,204338,3038,56,2242,51897,885438,2335604,1795269,99049,14,677,14681,217086,438117,363734,115608,7,268,4956,63492,107826,71650,20100,
AFReal_60_20_15,60,20,15,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,5830,61155,276312,479069,51453,14,0,17941,215780,1497393,5309796,2134820,204343,3038,16720,734854,6351308,22058711,13206993,2165990,100099,3413,213532,6480339,98955131,61690234,9092711,707264,1038,56754,1606058,31636447,67050155,38453724,2882659,
AFReal_60_20_70,60,20,70,92,3,0,0,0,0,0,1271,8345,9022,33,0,0,0,5747,61149,276312,479069,51453,14,0,2019,123069,1476395,5309245,2134820,204343,3038,432,20867,611291,11987912,13034126,2165729,100099,107,5473,141088,2464806,5636661,4918917,697939,31,1623,40340,664531,1333055,966351,268956,
AFReal_60_20_95,60,20,95,92,3,0,0,0,0,0,1244,8345,9022,33,0,0,0,888,43513,273206,479059,51453,14,0,122,6828,194005,3508030,2112928,204338,3038,36,1549,35804,608065,1567152,1393178,99049,8,365,8814,139687,295806,256638,80272,5,185,3299,39585,66639,46715,13098,
AFReal_60_50_15,60,50,15,92,3,0,0,0,0,0,1266,8345,9022,33,0,0,0,4283,53102,272762,479069,51453,14,0,12437,181539,1061482,4534163,2090791,204343,3038,3422,203400,4242112,18444459,8997514,1839615,97617,891,47289,1319976,25581109,40111777,7518522,459044,240,13746,391009,6984995,13685538,10090217,1806453,
AFReal_60_50_70,60,50,70,92,3,0,0,0,0,0,1266,8345,9022,33,0,0,0,3604,53096,272762,479069,51453,14,0,575,33152,896153,4533459,2090791,204343,3038,124,6548,175542,3273565,7529985,1839284,97617,32,1646,40501,743823,1648702,1355820,368121,7,385,9307,165430,351769,301524,79911,
AFReal_60_50_95,60,50,95,92,3,0,0,0,0,0,1237,8345,9022,33,0,0,0,259,15330,268413,479059,51453,14,0,37,2056,57545,1171805,2054161,204338,3038,12,440,10193,182016,491754,480680,95926,5,170,2944,41612,82274,78977,26761,3,111,2250,29419,32053,16921,3756,
AFReal_60_500_15,60,500,15,92,3,0,0,0,0,0,793,6864,9022,33,0,0,0,2152,21702,157832,387833,51453,14,0,477,25597,503536,1643222,1152019,158025,3038,100,5112,147365,2485738,4058219,652674,52614,20,1057,32148,636129,1406049,1039284,196406,6,287,8649,143594,315743,254769,72630,
AFReal_60_500_70,60,500,70,92,3,0,0,0,0,0,793,6864,9022,33,0,0,0,175,10715,157832,387833,51453,14,0,24,1334,42965,828366,1152019,158025,3038,9,340,7664,135167,371365,344005,52614,2,96,2214,37358,71895,62608,21889,0,0,4,1955,15785,14981,3288,
AFReal_60_500_95,60,500,95,92,3,0,0,0,0,0,116,6459,9022,33,0,0,0,11,679,22648,365948,51453,14,0,3,156,2788,52626,173251,146616,3038,0,1,163,7443,24580,25710,8363,0,0,0,4,889,3091,1227,0,0,0,0,0,3,39,
AFReal_70_1_15,70,1,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,6312,41722,142318,177912,7981,0,0,51160,609392,1614816,3514848,1030585,73044,463,199232,3016389,20789687,78048658,14480013,1415711,45978,781663,12222686,93300392,469617653,219384523,33380151,769192,1159840,36573125,462707011,2246513116,1079112834,190561852,10433651,
AFReal_70_1_70,70,1,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,6295,41720,142318,177912,7981,0,0,49942,605859,1612748,3514829,1030585,73044,463,119779,2831412,20374438,77701199,14463322,1415672,45978,103765,3596792,54483650,440275108,215222894,33234173,768280,86129,3165727,56876728,620338321,616432201,178462567,10241271,
AFReal_70_1_95,70,1,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,5426,38580,141798,177912,7981,0,0,30888,549835,1362393,3261268,1027520,73044,463,29954,880396,11954728,70869312,12039126,1314720,45823,22532,795909,12673584,125680438,122183512,30303377,623745,17911,656047,11810799,129937860,137347358,49824454,5771820,
AFReal_70_5_15,70,5,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,5549,41722,142318,177912,7981,0,0,17432,244508,1384988,3514848,1030585,73044,463,65941,904650,6049929,26908294,12148900,1415711,45978,59424,2674015,27998449,125378838,57843641,11126690,650475,17495,1037987,30041415,440720129,307128680,49248137,2638426,
AFReal_70_5_70,70,5,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,5532,41720,142318,177912,7981,0,0,14053,237713,1382765,3514829,1030585,73044,463,4501,231989,4862849,26258329,12131292,1415672,45978,1291,62109,1548020,27825826,46081909,10855110,649519,604,25118,554841,8349246,15030785,10754327,2094639,
AFReal_70_5_95,70,5,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,4359,38580,141798,177912,7981,0,0,1384,65330,1059831,3261268,1027520,73044,463,362,15798,372431,5912855,9003071,1314720,45823,145,5768,116426,1662337,3155234,2368437,463874,92,3398,65004,794631,1084136,634933,142390,
AFReal_70_10_15,70,10,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,4425,41722,142318,177912,7981,0,0,11715,191023,1059461,3514848,1030585,73044,463,37390,673169,3741942,19369304,9096445,1415711,45978,12290,712502,15324123,91039748,34564270,7909143,494829,3371,185836,5615142,107573862,159544072,35303493,1598110,
AFReal_70_10_70,70,10,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,4408,41720,142318,177912,7981,0,0,5435,181592,1057165,3514829,1030585,73044,463,1120,57239,1630539,18414740,9078303,1415672,45978,301,15126,364654,6439319,14499805,7504243,493846,107,4811,114807,1857774,3430876,2482397,691326,
AFReal_70_10_95,70,10,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,2051,38580,141798,177912,7981,0,0,373,17813,447042,3261268,1027520,73044,463,92,3827,90547,1459536,3504277,1314720,45823,30,1233,25518,366563,739542,588155,178031,9,376,7908,112827,192016,125654,34513,
AFReal_70_15_15,70,15,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,4008,40506,142318,177912,7981,0,0,10443,145806,937814,3263558,1030585,73044,463,20896,509570,3302792,14141098,7821305,1292314,45978,5255,308685,7821697,65556017,30485159,5639325,410689,1606,84515,2383260,44645502,79096570,25611292,1378207,
AFReal_70_15_70,70,15,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,3989,40504,142318,177912,7981,0,0,2806,126833,934987,3263539,1030585,73044,463,596,28546,801518,12209832,7797775,1292275,45978,165,7954,195729,3292914,7119062,4830478,409311,58,2511,59893,970832,1846200,1272492,329377,
AFReal_70_15_95,70,15,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,1168,36822,141798,177912,7981,0,0,183,9329,240639,2917276,1027520,73044,463,53,2158,48504,775218,1854642,1145334,45823,14,647,14150,207768,405177,317049,90547,7,268,4955,62653,103903,68563,18621,
AFReal_70_20_15,70,20,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,3654,37208,142318,177912,7981,0,0,9839,121684,846507,2953129,1030585,73044,463,13039,442651,3173629,11650574,7051765,1156487,45978,3135,181070,4793918,55587838,29336100,4582009,371665,995,53465,1439354,26156232,48336448,21731644,1322196,
AFReal_70_20_70,70,20,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,3629,37206,142318,177912,7981,0,0,1716,91633,842938,2953110,1030585,73044,463,402,18776,511261,8687742,7023102,1156448,45978,105,5259,132490,2192023,4597788,3365471,370032,31,1617,39590,636581,1242931,845405,205684,
AFReal_70_20_95,70,20,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,753,31226,141798,177912,7981,0,0,120,6052,159324,2384510,1027520,73044,463,33,1493,33831,528604,1239901,911224,45823,8,355,8362,132365,272265,215824,61088,5,185,3298,39310,63701,44364,12090,
AFReal_70_50_15,70,50,15,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,2735,29756,142318,177912,7981,0,0,7045,87149,607689,2329096,1030585,73044,463,2865,142502,2188936,8136800,4867795,917765,45978,811,41410,1067575,17362102,19799537,3227460,245683,236,13156,353826,5984229,10793464,6629834,895530,
AFReal_70_50_70,70,50,70,18,0,0,0,0,0,0,699,3484,1690,0,0,0,0,2610,29754,142318,177912,7981,0,0,500,26577,586508,2329076,1030585,73044,463,117,5783,148686,2508377,4685963,917726,45978,31,1566,38267,668672,1365925,1026411,231029,7,384,9208,159420,328443,264207,66201,
AFReal_70_50_95,70,50,95,18,0,0,0,0,0,0,698,3484,1690,0,0,0,0,214,11839,141798,177912,7981,0,0,35,1853,46850,847493,1027520,73044,463,10,389,9363,158846,392223,340517,45823,5,169,2858,37836,75084,68098,22209,3,111,2250,29419,31686,15558,3499,
AFReal_70_500_15,70,500,15,18,0,0,0,0,0,0,362,3168,1690,0,0,0,0,1086,9216,65587,159433,7981,0,0,348,16972,217237,634930,444376,63082,463,82,4238,106048,1524224,1651191,251419,18980,19,948,27560,497393,981689,613375,83397,6,283,8297,130125,266265,195640,45891,
AFReal_70_500_70,70,500,70,18,0,0,0,0,0,0,362,3168,1690,0,0,0,0,128,6867,65587,159433,7981,0,0,20,997,30620,488399,444376,63082,463,7,295,6434,101119,254760,196306,18980,2,96,2065,33043,60594,45822,14581,0,0,4,1937,15072,13224,2793,
AFReal_70_500_95,70,500,95,18,0,0,0,0,0,0,72,3163,1690,0,0,0,0,9,464,14462,159356,7981,0,0,2,123,1991,35769,104401,62939,463,0,1,120,4323,17488,17295,4458,0,0,0,4,552,1941,871,0,0,0,0,0,3,39,
AFReal_80_1_15,80,1,15,6,0,0,0,0,0,0,262,782,49,0,0,0,0,3684,17727,47282,34539,154,0,0,48404,547082,852677,1320249,312436,14047,5,185275,2863127,19708327,70906496,7206117,509375,13002,773582,11690635,86522338,445199691,208082834,30340357,370050,1159022,36464170,457762351,2146145055,998963554,180528649,9909391,
AFReal_80_1_70,80,1,70,6,0,0,0,0,0,0,262,782,49,0,0,0,0,3680,17727,47282,34539,154,0,0,48162,546535,852293,1320249,312436,14047,5,119577,2811575,19631829,70855320,7203450,509375,13002,103744,3594900,54409032,437385479,207364119,30318488,369908,86126,3165546,56867353,620090007,615598250,177218584,9878381,
AFReal_80_1_95,80,1,95,6,0,0,0,0,0,0,262,782,49,0,0,0,0,3355,17002,47260,34539,154,0,0,30753,526307,773838,1269993,312330,14047,5,29944,879359,11893268,68498651,6505252,490679,12998,22530,795864,12670483,125556968,121608093,29323667,329007,17911,656037,11810477,129930869,137320137,49762582,5745952,
AFReal_80_5_15,80,5,15,6,0,0,0,0,0,0,262,782,49,0,0,0,0,3684,17727,47282,34539,154,0,0,12724,161009,852677,1320249,312436,14047,5,44461,464333,4259559,17007854,7206117,509375,13002,55497,2245715,18219354,59153999,39952578,6956956,370050,17143,1002931,27634765,368050079,195446531,23306959,1826191,
AFReal_80_5_70,80,5,70,6,0,0,0,0,0,0,262,782,49,0,0,0,0,3680,17727,47282,34539,154,0,0,12011,160015,852293,1320249,312436,14047,5,4380,217930,4037565,16923711,7203450,509375,13002,1280,60550,1487613,25848158,37870636,6920634,369908,604,25043,550213,8168370,14358933,9941340,1734273,
