name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABMarkov1_60_1_70,60,1,70,827,2719,3050,37111,5185,0,0,221,9565,145145,217053,21973,22124,293,39,1661,39241,531161,1059381,84302,1265,5,275,7091,117644,292098,256879,67867,1,51,1376,23786,58693,52776,16094,0,4,183,4200,11443,10410,3323,0,0,12,457,1922,1849,563,
ABMarkov1_60_1_95,60,1,95,1,98,2806,37111,5185,0,0,0,4,212,4502,17554,22124,293,0,0,7,281,1432,2288,1148,0,0,0,5,57,134,99,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_5_15,60,5,15,2,883,274,4,3220,0,0,1,1,189,57269,4567,1,293,1961,13190,1240,29,1047,31012,132,13,2234,406900,2384490,20974,57,91,3,189,5419,190732,3150498,944602,852,1,76,2003,32053,60910,85583,172408,0,20,797,14737,25975,14948,3138,
ABMarkov1_60_5_70,60,5,70,2,883,274,4,3220,0,0,0,1,189,57269,4567,1,293,0,0,1,26,1047,31012,132,0,0,0,1,25,57,91,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_5_95,60,5,95,0,0,0,4,3220,0,0,0,0,0,0,0,1,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_10_15,60,10,15,0,37,212,0,25,0,0,1,0,0,815,2517,0,3,24,4730,1219,3,0,461,122,2,74,4119,579489,20803,0,0,1,36,626,7642,31444,241431,849,0,4,136,2231,3951,2598,1623,0,1,44,879,1611,986,194,
ABMarkov1_60_10_70,60,10,70,0,37,212,0,25,0,0,0,0,0,815,2517,0,3,0,0,0,0,0,461,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_10_95,60,10,95,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_15_15,60,15,15,0,0,49,0,0,0,0,1,0,0,5,426,0,0,3,860,886,3,0,5,31,0,15,547,48321,16887,0,0,0,0,4,360,2940,28245,734,0,0,1,40,164,246,129,0,0,0,2,7,10,6,
ABMarkov1_60_15_70,60,15,70,0,0,49,0,0,0,0,0,0,0,5,426,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
