name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABMarkov2_50_1_15,50,1,15,892,7538,11229,41460,16780,452,3,796,11431,152259,435354,73782,23879,960,15713,78819,187390,662917,1089959,198163,4347,20223,701278,4811680,9209127,1576790,321965,69698,8203,346654,7076707,77251057,46724640,3894713,80651,2571,135030,3143653,45986170,70231409,33612744,2504558,910,48395,1299840,21048816,33980340,18903796,3414074,
ABMarkov2_50_1_70,50,1,70,885,7533,11229,41460,16780,452,3,199,9325,151048,435118,73780,23879,960,24,1446,37673,532618,1081194,198035,4347,3,219,6363,113745,293545,261413,69229,0,22,971,20669,55852,51918,16205,0,3,143,3476,9852,9380,3159,0,0,5,295,1040,1217,442,
ABMarkov2_50_1_95,50,1,95,3,133,3204,39217,16714,452,3,0,6,228,4521,18046,22795,947,0,0,8,283,1497,2361,1204,0,0,0,6,74,192,117,0,0,0,0,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_5_15,50,5,15,51,2951,8893,4580,8049,452,3,639,2908,5123,120467,60147,2422,740,3319,72694,155853,159735,29061,62279,3448,18,3716,587859,7629162,1329910,75409,1755,2,151,5203,245335,4366888,3322951,66957,0,26,1082,21659,51381,105268,243640,0,10,434,8970,16993,10945,2694,
ABMarkov2_50_5_70,50,5,70,6,2939,8893,4580,8049,452,3,0,1,570,119706,60145,2422,740,0,0,2,66,2446,61891,3448,0,0,0,7,27,40,151,0,0,0,2,7,8,3,0,0,0,1,3,3,1,0,0,0,0,0,0,0,
ABMarkov2_50_5_95,50,5,95,0,0,0,23,7914,452,3,0,0,0,0,1,16,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_10_15,50,10,15,47,411,8021,4566,795,452,3,638,2907,4672,7271,50500,2411,77,92,42987,154931,159676,26945,3377,3281,0,24,8982,3048963,1319917,75371,1620,0,5,187,3732,49208,1338175,66770,0,2,81,1468,2847,2066,2757,0,1,43,857,1555,914,176,
ABMarkov2_50_10_70,50,10,70,0,356,8021,4566,795,452,3,0,0,1,4942,50497,2411,77,0,0,0,0,1,2307,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_10_95,50,10,95,0,0,0,0,427,452,3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_15_15,50,15,15,47,120,5435,4565,440,452,3,636,2907,4671,2850,31462,2411,40,3,12192,149204,159665,26944,1275,1861,0,6,297,459078,1242476,75371,1620,0,4,130,1733,3449,183287,63396,0,2,72,1158,2039,1134,258,0,1,40,739,1276,694,118,
ABMarkov2_50_15_70,50,15,70,0,27,5435,4565,440,452,3,0,0,0,122,31458,2411,40,0,0,0,0,0,40,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_15_95,50,15,95,0,0,0,0,11,452,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_20_15,50,20,15,47,105,4267,4562,431,452,3,608,2907,4671,2771,24264,2411,40,0,1843,137930,159639,26944,1248,1523,0,0,27,43317,1085840,75368,1620,0,0,0,2,327,15650,58180,0,0,0,0,0,1,17,0,0,0,0,0,0,0,
ABMarkov2_50_20_70,50,20,70,0,1,4267,4562,431,452,3,0,0,0,2,24258,2411,40,0,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_20_95,50,20,95,0,0,0,0,0,452,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_50_15,50,50,15,47,105,100,3845,431,81,3,193,2889,4671,2771,167,2279,40,0,0,9145,154311,26944,1248,4,0,0,0,0,26478,73228,1620,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_50_70,50,50,70,0,0,77,3845,431,81,3,0,0,0,0,87,2279,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_50_95,50,50,95,0,0,0,0,0,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_500_15,50,500,15,21,105,31,0,256,5,0,0,0,305,2768,86,0,24,0,0,0,0,345,1230,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_500_70,50,500,70,0,0,0,0,256,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_50_500_95,50,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov2_60_1_15,60,1,15,828,3896,5574,39400,8045,66,0,336,9571,150751,235430,34082,22875,413,8698,34150,71321,544218,1081122,99386,2119,20223,700195,2729665,4067310,561430,266803,69234,8203,346654,7076707,77247916,27537343,1710980,30113,2571,135030,3143653,45986170,70231409,33612744,1445204,910,48395,1299840,21048816,33980340,18903796,3414074,
