name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov2_50_1_15,50,1,15,75,2,0,0,0,0,0,1343,7951,6561,18,0,0,0,13051,102997,300245,457969,41091,21,0,42121,735828,3897432,10137492,2435556,220655,2918,239420,2049688,17085047,92751400,37677838,4371905,124059,216611,11107676,111625560,315110920,183443095,39809151,2067444,63147,4171680,131896403,2091620629,1309193838,131698857,8808720,
AFMarkov2_50_1_70,50,1,70,75,2,0,0,0,0,0,1343,7951,6561,18,0,0,0,13036,102997,300245,457969,41091,21,0,34268,725817,3895211,10137469,2435556,220655,2918,3661,373862,14226940,91714660,37656310,4371885,124059,211,29162,1681838,58705202,154277044,39347342,2066074,10,1763,129230,5303525,19669611,24049353,7392527,
AFMarkov2_50_1_95,50,1,95,75,2,0,0,0,0,0,1337,7951,6561,18,0,0,0,8965,97972,299309,457967,41091,21,0,326,58394,2695360,9651330,2427817,220655,2918,1,1159,125242,7078748,26175105,4162580,123642,0,11,2325,184135,1334641,3098824,1430985,0,0,27,3554,29321,77518,64984,
AFMarkov2_50_5_15,50,5,15,75,2,0,0,0,0,0,1333,7951,6561,18,0,0,0,7123,78130,298830,457969,41091,21,0,15386,304962,1977842,7557723,2422292,220655,2918,53591,1472285,5462536,35369641,18701166,3213256,123071,611,144442,23896911,226802526,54992520,15051729,1026670,117,8514,365971,25006107,274966912,94417819,2648855,
AFMarkov2_50_5_70,50,5,70,75,2,0,0,0,0,0,1333,7951,6561,18,0,0,0,7097,78130,298830,457969,41091,21,0,501,260871,1973311,7557686,2422292,220655,2918,2,376,182373,30882605,18657033,3213232,123071,0,22,1527,64361,1858613,13030115,1023500,0,5,223,6231,20659,27643,93237,
AFMarkov2_50_5_95,50,5,95,75,2,0,0,0,0,0,1326,7951,6561,18,0,0,0,302,66128,297822,457967,41091,21,0,0,5,74680,6467153,2413867,220655,2918,0,0,0,319,677984,2721622,122596,0,0,0,0,2,194,40766,0,0,0,0,0,0,0,
AFMarkov2_50_10_15,50,10,15,75,2,0,0,0,0,0,1322,7951,6561,18,0,0,0,6277,63674,294842,457969,41091,21,0,14823,163067,1682350,5875689,2390769,220655,2918,5352,945027,5245701,17019350,15737638,2552015,122037,77,6432,2122918,141874098,52849955,7417198,865808,20,1266,42839,1131269,23736650,57708713,2533505,
AFMarkov2_50_10_70,50,10,70,75,2,0,0,0,0,0,1322,7951,6561,18,0,0,0,6225,63674,294842,457969,41091,21,0,13,84247,1669500,5875649,2390769,220655,2918,1,54,3558,9090725,15615470,2551988,122037,0,6,254,6297,36025,3935450,857906,0,2,72,1370,2913,2515,1823,
AFMarkov2_50_10_95,50,10,95,75,2,0,0,0,0,0,1312,7951,6561,18,0,0,0,3,43026,293341,457967,41091,21,0,0,0,1280,3960955,2378012,220655,2918,0,0,0,0,10705,1704100,121308,0,0,0,0,0,0,901,0,0,0,0,0,0,0,
AFMarkov2_50_15_15,50,15,15,75,2,0,0,0,0,0,1300,7950,6561,18,0,0,0,5581,54476,289319,457963,41091,21,0,14118,123006,1456347,4893060,2346278,220655,2918,581,518721,4975417,12084160,13463113,2103778,118603,41,2479,214334,73798792,50086616,5309064,742566,15,763,21433,421940,2372626,29989623,2396304,
AFMarkov2_50_15_70,50,15,70,75,2,0,0,0,0,0,1300,7950,6561,18,0,0,0,5459,54475,289319,457963,41091,21,0,1,25755,1428393,4893006,2346278,220655,2918,0,0,185,2465226,13207221,2103739,118603,0,0,0,72,1822,1123822,725317,0,0,0,1,6,26,60,
AFMarkov2_50_15_95,50,15,95,75,2,0,0,0,0,0,1280,7950,6561,18,0,0,0,0,26960,286623,457961,41091,21,0,0,0,8,2348114,2324024,220655,2918,0,0,0,0,148,987718,117356,0,0,0,0,0,0,26,0,0,0,0,0,0,0,
AFMarkov2_50_20_15,50,20,15,75,2,0,0,0,0,0,1279,7950,6561,18,0,0,0,4960,49410,285160,457963,41091,21,0,13185,112447,1277023,4368103,2311149,220655,2918,94,273157,4646452,10904520,11662714,1893297,116295,1,175,37109,36834640,46581558,4774999,628445,0,3,233,26676,405782,15011129,2198362,
AFMarkov2_50_20_70,50,20,70,75,2,0,0,0,0,0,1279,7950,6561,18,0,0,0,4733,49409,285160,457963,41091,21,0,0,6967,1229528,4368007,2311149,220655,2918,0,0,4,609276,11232493,1893226,116295,0,0,0,1,44,302569,600328,0,0,0,0,0,0,1,
AFMarkov2_50_20_95,50,20,95,75,2,0,0,0,0,0,1242,7950,6561,18,0,0,0,0,16863,280857,457961,41091,21,0,0,0,0,1391543,2275735,220655,2918,0,0,0,0,2,598560,113857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
AFMarkov2_50_50_15,50,50,15,75,2,0,0,0,0,0,1155,7941,6561,18,0,0,0,2724,41211,249092,457571,41091,21,0,6524,107462,627466,3577018,1992603,220582,2918,0,899,2265998,10381826,5440731,1537549,101177,0,0,0,84648,21727795,4511795,312217,0,0,0,0,0,44101,1007236,
