name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov3_50_1_15,50,1,15,159,11,0,0,0,0,0,1535,10938,13830,41,0,0,0,13028,117805,354095,611134,68942,27,0,42735,773404,3909422,11394922,2790715,259034,3227,233815,2188381,17399130,95838103,37775490,4755809,136983,221223,10749501,112705990,336591893,185382097,40924368,2000667,65391,4313028,133893822,2031765187,1328817467,136390873,8806124,
AFMarkov3_50_1_70,50,1,70,159,11,0,0,0,0,0,1535,10938,13830,41,0,0,0,13009,117804,354095,611134,68942,27,0,33013,759808,3905485,11394903,2790715,259034,3227,3960,395721,13859543,94509060,37742084,4755798,136983,269,33045,1841423,62012493,149951866,40352678,1999097,23,2579,155615,5950724,21394617,25402446,7162523,
AFMarkov3_50_1_95,50,1,95,159,11,0,0,0,0,0,1531,10935,13830,41,0,0,0,8048,112133,352705,611134,68942,27,0,311,62879,2594203,10864574,2779418,259029,3227,6,1388,141944,7764976,25546077,4527112,136447,0,22,3060,217888,1510331,3363314,1319907,0,0,65,5364,36804,89986,73315,
AFMarkov3_50_5_15,50,5,15,159,11,0,0,0,0,0,1534,10938,13830,41,0,0,0,8864,91330,353709,611134,68942,27,0,19556,333583,2346063,8409186,2788713,259034,3227,51525,1688550,6935146,37518566,21476293,3445579,136887,784,212707,23776089,253458379,67997756,15496038,1145216,126,9234,421203,35355696,269753959,102049272,3148653,
AFMarkov3_50_5_70,50,5,70,159,11,0,0,0,0,0,1534,10938,13830,41,0,0,0,8823,91329,353709,611134,68942,27,0,958,261123,2338823,8409144,2788713,259034,3227,7,585,343628,30654295,21417308,3445560,136887,0,22,1513,77473,3432705,12627638,1142148,0,2,136,5100,18905,32615,166839,
AFMarkov3_50_5_95,50,5,95,159,11,0,0,0,0,0,1528,10934,13830,41,0,0,0,538,75133,352214,611134,68942,27,0,0,22,136971,6982139,2776953,259029,3227,0,0,2,2001,1212714,2836864,136320,0,0,0,1,7,884,66329,0,0,0,0,0,0,0,
AFMarkov3_50_10_15,50,10,15,159,11,0,0,0,0,0,1528,10937,13830,41,0,0,0,7485,73673,352881,611134,68942,27,0,18994,211774,2041319,6610680,2781424,259034,3227,8000,1045345,6711756,21295241,18538116,2720985,136420,73,8234,3185714,152307246,65611593,8819412,978850,15,1114,40576,1361248,34523098,60551148,3031119,
AFMarkov3_50_10_70,50,10,70,159,11,0,0,0,0,0,1528,10937,13830,41,0,0,0,7367,73672,352881,611134,68942,27,0,41,87809,2022090,6610614,2781424,259034,3227,0,11,11814,9583247,18377785,2720941,136420,0,0,34,2253,114340,4056837,969727,0,0,0,75,406,795,5825,
AFMarkov3_50_10_95,50,10,95,159,11,0,0,0,0,0,1521,10931,13830,41,0,0,0,49,42716,351070,611134,68942,27,0,0,0,11775,3914981,2767179,259029,3227,0,0,0,0,98039,1607434,135707,0,0,0,0,0,0,6082,0,0,0,0,0,0,0,
AFMarkov3_50_15_15,50,15,15,159,11,0,0,0,0,0,1524,10936,13830,41,0,0,0,6607,66764,350640,611134,68942,27,0,18558,180051,1745665,5821879,2761424,259034,3227,1469,551401,6526612,17191569,15711550,2385616,135245,31,2194,515445,76569698,63458201,6996505,805900,8,552,17949,395279,5451086,30145937,2905645,
AFMarkov3_50_15_70,50,15,70,159,11,0,0,0,0,0,1524,10936,13830,41,0,0,0,6334,66763,350640,611134,68942,27,0,0,34459,1696500,5821757,2761424,259034,3227,0,0,412,3481062,15309008,2385534,135245,0,0,0,27,4508,1471865,783434,0,0,0,0,3,15,237,
