name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABMarkov3_50_1_15,50,1,15,943,7021,13244,46163,15699,353,2,1049,13555,152902,436102,82075,26096,1028,15008,85403,229426,769307,1108275,192644,4424,20673,688188,4654145,9613458,1837944,352044,69715,8375,356145,7191427,77081725,45754809,4060865,86658,2726,140895,3260346,47224127,71426301,33481740,2450786,944,50644,1348935,21757380,34952120,19335698,3467327,
ABMarkov3_50_1_70,50,1,70,915,6999,13242,46163,15699,353,2,210,9595,149735,435286,82063,26096,1028,30,1600,39999,555497,1090209,192357,4424,3,217,6578,118897,307251,270664,68968,0,19,880,19760,54680,52726,16730,0,1,88,2843,8428,8720,3115,0,0,13,412,1204,1237,438,
ABMarkov3_50_1_95,50,1,95,2,152,3775,42538,15517,351,2,0,4,249,5365,21103,24773,1023,0,0,9,375,1920,3019,1452,0,0,0,14,109,229,133,0,0,0,1,6,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov3_50_5_15,50,5,15,129,3320,10537,7489,8712,353,2,888,5195,11176,129506,66637,3048,734,3386,80805,197348,260048,53495,66136,3337,21,4539,645036,8248756,1585840,100006,2500,3,182,5954,301354,4846669,3558336,72701,0,31,1191,23425,56558,126014,262019,0,10,450,9131,17275,11104,2829,
ABMarkov3_50_5_70,50,5,70,14,3257,10534,7489,8712,353,2,0,3,556,125915,66625,3048,734,0,0,2,56,2465,65246,3337,0,0,0,2,11,22,156,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov3_50_5_95,50,5,95,0,0,0,42,8323,351,2,0,0,0,0,0,26,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov3_50_10_15,50,10,15,118,769,9672,7461,1492,353,2,887,5192,10737,15386,57109,3029,81,140,47459,197211,259998,51418,5273,3313,0,35,13294,3164303,1584418,99986,2356,0,5,187,4453,73320,1356337,72647,0,1,42,870,1903,1893,3612,0,0,5,187,440,344,87,
ABMarkov3_50_10_70,50,10,70,0,485,9669,7461,1492,353,2,0,0,2,5953,57091,3029,81,0,0,0,1,5,2605,3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov3_50_10_95,50,10,95,0,0,0,0,596,351,2,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov3_50_15_15,50,15,15,118,448,7157,7461,1031,353,2,885,5192,10735,10702,38148,3029,34,6,13478,195371,259997,51413,2989,1896,0,3,341,570325,1539110,99986,2356,0,0,10,468,2619,224758,71718,0,0,0,23,82,136,119,0,0,0,6,18,18,6,
