e	k	t
0	6	40
0	7	40
0	8	40
0	9	50
0	10	60
0	11	50
0	12	60
1	6	80
1	7	160
1	8	330
1	9	360
1	10	420
1	11	460
1	12	480
2	6	240
2	7	1310
2	8	3380
2	9	5430
2	10	6910
2	11	7450
2	12	8300
3	6	810
3	7	5910
3	8	23500
3	9	53550
3	10	98650
3	11	107250
3	12	112850

