id	e	k	m	t
45	2	6	533988	157.0
46	2	6	524782	152.0
47	2	6	531869	151.0
48	2	6	504021	157.0
49	2	6	390340	151.0
50	2	6	533873	149.0
51	2	6	513595	158.0
52	2	6	523671	152.0
53	2	6	529335	162.0
54	2	6	530049	156.0
55	2	6	535783	162.0
56	2	6	530498	154.0
57	2	6	529823	156.0
58	2	6	516652	158.0
59	2	6	528553	152.0
60	2	6	529436	156.0
61	2	6	534015	160.0
62	2	6	531187	151.0
63	2	6	532661	159.0
64	2	6	534568	149.0
65	2	6	532630	160.0
66	2	6	529037	152.0
67	2	6	532021	155.0
68	2	6	530043	151.0
69	2	6	534371	149.0
70	2	6	530118	155.0
71	2	6	528687	156.0
72	2	6	532116	150.0
73	2	6	531929	154.0
74	2	6	527330	152.0
75	2	6	494160	157.0
76	2	6	533815	154.0
77	2	6	528139	154.0
78	2	6	530036	156.0
79	2	6	533183	150.0
80	2	6	533508	152.0
81	2	6	534257	158.0
82	2	6	534422	156.0
83	2	6	530188	153.0
84	2	6	463421	155.0
85	2	6	532290	159.0
86	2	6	530934	151.0
87	2	6	533122	150.0
88	2	6	532906	150.0
89	2	6	535578	194.0
90	2	6	531420	154.0
91	2	6	527305	154.0
92	2	6	531608	150.0
93	2	6	522031	159.0
94	2	6	531954	150.0
95	2	6	502304	156.0
96	2	6	532571	153.0
97	2	6	530487	152.0
98	2	6	533318	149.0
99	2	6	533968	150.0
0	0	7	5504	3.0
1	0	7	5829	3.0
2	0	7	5531	3.0
3	0	7	6114	2.0
4	0	7	6113	3.0
5	0	7	3517	2.0
6	0	7	6221	3.0
7	0	7	5057	3.0
8	0	7	5985	3.0
9	0	7	3890	3.0
10	0	7	7485	3.0
11	0	7	7215	3.0
12	0	7	2884	2.0
13	0	7	5198	4.0
14	0	7	6689	3.0
15	0	7	6483	4.0
16	0	7	7018	3.0
17	0	7	6694	3.0
18	0	7	6014	2.0
19	0	7	9120	4.0
20	0	7	913	0.0
21	0	7	1215	1.0
22	0	7	4522	2.0
23	0	7	5615	3.0
24	0	7	6130	3.0
25	0	7	6180	3.0
26	0	7	3835	1.0
27	0	7	1079	1.0
28	0	7	6078	3.0
29	0	7	4950	3.0
30	0	7	5948	3.0
31	0	7	3988	2.0
32	0	7	5803	3.0
33	0	7	4304	2.0
34	0	7	6143	3.0
35	0	7	4808	3.0
36	0	7	6308	5.0
37	0	7	5288	3.0
38	0	7	7929	3.0
39	0	7	5608	3.0
40	0	7	5783	3.0
41	0	7	6174	3.0
42	0	7	7552	4.0
43	0	7	6999	3.0
44	0	7	5612	3.0
45	0	7	7187	2.0
46	0	7	5951	3.0
47	0	7	6444	3.0
48	0	7	3140	2.0
49	0	7	1458	1.0
50	0	7	7471	4.0
51	0	7	3209	2.0
52	0	7	6588	3.0
53	0	7	4617	2.0
54	0	7	5005	3.0
55	0	7	10248	4.0
56	0	7	5696	4.0
57	0	7	5909	3.0
58	0	7	5026	2.0
59	0	7	5622	2.0
60	0	7	5201	3.0
61	0	7	6675	3.0
62	0	7	5814	3.0
63	0	7	6137	3.0
64	0	7	7984	4.0
65	0	7	6875	3.0
66	0	7	5499	3.0
67	0	7	6170	3.0
68	0	7	6840	3.0
69	0	7	7401	3.0
70	0	7	6076	3.0
71	0	7	5314	3.0
72	0	7	5740	3.0
73	0	7	6111	3.0
74	0	7	4846	2.0
75	0	7	2175	1.0
76	0	7	6440	3.0
77	0	7	4578	3.0
78	0	7	5412	3.0
79	0	7	5941	3.0
80	0	7	6905	4.0
81	0	7	7631	3.0
82	0	7	7274	3.0
83	0	7	5473	2.0
84	0	7	2069	1.0
85	0	7	5952	3.0
86	0	7	5323	3.0
87	0	7	6190	3.0
88	0	7	6181	3.0
89	0	7	9549	5.0
90	0	7	5898	4.0
91	0	7	5208	3.0
92	0	7	5925	3.0
93	0	7	4773	2.0
94	0	7	6021	3.0
95	0	7	2681	2.0
96	0	7	5960	3.0
97	0	7	5491	3.0
98	0	7	6207	3.0
99	0	7	7224	3.0
0	1	7	220582	67.0
1	1	7	230321	70.0
2	1	7	220777	62.0
3	1	7	240864	65.0
4	1	7	233619	67.0
5	1	7	155860	51.0
6	1	7	236700	69.0
7	1	7	205877	59.0
8	1	7	233380	64.0
9	1	7	172331	66.0
10	1	7	266294	67.0
11	1	7	258741	72.0
12	1	7	137351	49.0
13	1	7	213453	62.0
14	1	7	250610	68.0
15	1	7	241537	65.0
16	1	7	256398	66.0
17	1	7	243902	65.0
18	1	7	227455	61.0
19	1	7	304325	73.0
20	1	7	49814	24.0
21	1	7	63266	26.0
22	1	7	188697	56.0
23	1	7	218855	68.0
24	1	7	235407	69.0
25	1	7	238686	69.0
26	1	7	166164	54.0
27	1	7	60627	28.0
28	1	7	234057	64.0
29	1	7	200206	59.0
30	1	7	227025	62.0
31	1	7	170253	56.0
32	1	7	227195	67.0
33	1	7	180875	55.0
34	1	7	237746	69.0
35	1	7	202048	59.0
36	1	7	240831	66.0
37	1	7	209640	62.0
38	1	7	276305	65.0
39	1	7	218739	61.0
40	1	7	229538	63.0
41	1	7	239085	66.0
42	1	7	259410	67.0
43	1	7	259631	65.0
44	1	7	223787	63.0
45	1	7	263999	67.0
46	1	7	223290	59.0
47	1	7	238063	63.0
48	1	7	141771	56.0
49	1	7	72966	31.0
50	1	7	262290	66.0
51	1	7	147184	53.0
52	1	7	235624	60.0
53	1	7	196600	59.0
54	1	7	205339	61.0
55	1	7	320373	70.0
56	1	7	221578	66.0
57	1	7	224591	61.0
58	1	7	196844	55.0
59	1	7	220409	63.0
60	1	7	207559	59.0
61	1	7	252039	66.0
62	1	7	223201	63.0
63	1	7	235807	63.0
64	1	7	281183	68.0
65	1	7	247511	63.0
66	1	7	214766	60.0
67	1	7	234437	65.0
68	1	7	243335	64.0
69	1	7	266045	66.0
70	1	7	230877	60.0
71	1	7	213747	61.0
72	1	7	226967	62.0
73	1	7	232063	65.0
74	1	7	198643	59.0
75	1	7	113295	44.0
76	1	7	247834	71.0
77	1	7	193509	58.0
78	1	7	214788	61.0
79	1	7	236146	80.0
80	1	7	254872	65.0
81	1	7	273634	71.0
82	1	7	262772	67.0
83	1	7	215147	61.0
84	1	7	102127	47.0
85	1	7	231362	63.0
86	1	7	215101	62.0
87	1	7	237216	74.0
88	1	7	238281	61.0
89	1	7	310139	72.0
90	1	7	226868	62.0
91	1	7	209794	61.0
92	1	7	227541	64.0
93	1	7	189792	56.0
94	1	7	230516	62.0
95	1	7	130585	50.0
96	1	7	233540	70.0
97	1	7	218166	61.0
98	1	7	241243	65.0
99	1	7	262493	66.0
